"gennei",0.025046,0.004033,0.052658,0.003769,0.015928,0.001425,0.029676,0.002474,0.003076,0.015704,0.002930,0.001989,0.030793,0.002425,0.007716,0.005095,0.008137,0.025191,0.000104,0.031716,0.011232,0.002021,0.005748,0.008681,0.007484,0.000000,0.010185,0.004020,0.004067,0.005600,0.038455,0.000491,0.002766,0.002537,0.006126,0.018999,0.007479,0.007374,0.018944,0.010595,0.006903,0.131678,0.028101,0.008765,0.004107,0.006738,0.002745,0.011229,0.018530,0.004765,0.002201,0.022245,0.002679,0.003256,0.011078,0.054675,0.007626,0.001489,0.006707,0.013007,0.003324,0.009602,0.000869,0.003658,0.005214,0.005460,0.004272,0.000129,0.005252,0.023386,0.009894,0.006445,0.000000,0.000839,0.005839,0.006637,0.015467,0.036409,0.000000,0.002582,0.006334,0.000866,0.002838,0.010890,0.000000,0.000961,0.016545,0.011064,0.004272,0.004994,0.001736,0.003006,

"ann_anchor",0.049304,0.007372,0.002465,0.001758,0.000804,0.004546,0.031922,0.009967,0.000000,0.030423,0.016331,0.009367,0.010446,0.000000,0.005235,0.005491,0.011268,0.002506,0.003204,0.004131,0.006506,0.003780,0.005557,0.012339,0.002390,0.000000,0.003462,0.000191,0.002459,0.024590,0.028374,0.003489,0.017650,0.001259,0.005701,0.012377,0.007861,0.010120,0.027673,0.006329,0.034494,0.005719,0.024509,0.031680,0.057230,0.001073,0.002425,0.018889,0.054817,0.004827,0.000833,0.023286,0.002614,0.005552,0.014393,0.011856,0.057374,0.002565,0.000525,0.000000,0.000666,0.000996,0.000980,0.013986,0.002415,0.003479,0.001802,0.000000,0.001701,0.005250,0.006859,0.003775,0.000000,0.024561,0.002417,0.029341,0.006177,0.040118,0.000500,0.001671,0.006713,0.000576,0.024060,0.000322,0.000000,0.001037,0.024287,0.005208,0.002506,0.000940,0.003765,0.040585,

"mofiemofie",0.002244,0.011864,0.007733,0.002881,0.006068,0.003453,0.004037,0.007557,0.004103,0.017412,0.005417,0.001432,0.039869,0.000000,0.003559,0.002697,0.020452,0.005832,0.000685,0.008286,0.037301,0.004329,0.011373,0.007237,0.003296,0.000000,0.002181,0.001029,0.002867,0.009230,0.039055,0.002074,0.002046,0.006442,0.003646,0.003048,0.002587,0.005047,0.008475,0.015932,0.005866,0.002690,0.006419,0.016170,0.006106,0.010727,0.000851,0.003939,0.013150,0.002154,0.003518,0.040073,0.002327,0.013714,0.005482,0.014732,0.047496,0.003662,0.020727,0.024050,0.005851,0.002989,0.001573,0.011671,0.003665,0.027299,0.033416,0.002401,0.008794,0.052796,0.001183,0.013409,0.000000,0.011766,0.005895,0.003645,0.035844,0.038809,0.007205,0.001328,0.002498,0.004457,0.004851,0.000649,0.000000,0.016657,0.114686,0.006191,0.000750,0.000977,0.005136,0.006981,

"amiamo_gamba",0.042562,0.020845,0.002598,0.011480,0.001962,0.002301,0.004693,0.007828,0.006621,0.002546,0.007042,0.003101,0.015385,0.003203,0.001761,0.002512,0.006559,0.004097,0.010556,0.011173,0.044485,0.000000,0.025171,0.008582,0.003961,0.000000,0.004681,0.001457,0.000690,0.014275,0.008507,0.003758,0.003177,0.004128,0.008918,0.007946,0.001596,0.006191,0.013428,0.013882,0.007136,0.005586,0.013468,0.016877,0.012453,0.003757,0.002141,0.003636,0.025868,0.001054,0.003097,0.039845,0.007506,0.003629,0.017799,0.007088,0.060631,0.006078,0.003113,0.000000,0.019485,0.005688,0.000799,0.001346,0.001263,0.005261,0.001601,0.003561,0.005695,0.066889,0.005498,0.012997,0.000000,0.014550,0.001870,0.004244,0.033378,0.083847,0.002217,0.005116,0.001168,0.049160,0.012311,0.005362,0.000000,0.045904,0.003318,0.005467,0.000000,0.003160,0.000000,0.014424,

"vamosvissel",0.019576,0.007574,0.001726,0.007159,0.006475,0.006421,0.020737,0.005127,0.002965,0.016394,0.115987,0.000906,0.047836,0.001902,0.002789,0.002525,0.008446,0.004901,0.002692,0.010113,0.069340,0.000956,0.017936,0.018395,0.003344,0.000000,0.007784,0.000406,0.000921,0.018968,0.013578,0.001928,0.015775,0.007914,0.004377,0.010917,0.001006,0.004437,0.000835,0.003341,0.004090,0.000872,0.004678,0.049600,0.013038,0.011613,0.001565,0.000660,0.012311,0.002171,0.003626,0.017626,0.020117,0.022066,0.000000,0.011963,0.015577,0.006911,0.002235,0.000000,0.010749,0.000000,0.001387,0.002019,0.006007,0.000618,0.008169,0.003408,0.007203,0.060254,0.007404,0.008946,0.004728,0.004067,0.005303,0.010962,0.011440,0.024299,0.012421,0.010265,0.005649,0.002096,0.005265,0.010367,0.000000,0.012791,0.049611,0.011447,0.002563,0.001224,0.000000,0.004206,

"qmaclone",0.003903,0.002505,0.002954,0.002860,0.005733,0.003817,0.016088,0.003928,0.012376,0.004276,0.000867,0.104719,0.017365,0.001416,0.008058,0.011305,0.001352,0.000866,0.008024,0.003853,0.004617,0.004046,0.006261,0.017544,0.003504,0.008268,0.002690,0.002204,0.004280,0.003242,0.023358,0.003241,0.005164,0.000932,0.018095,0.005051,0.006072,0.008787,0.007641,0.023043,0.003242,0.007068,0.007071,0.008156,0.011800,0.004783,0.002288,0.015246,0.010548,0.004774,0.004684,0.012123,0.001188,0.003508,0.002848,0.014008,0.036003,0.010766,0.104588,0.076310,0.010002,0.003893,0.006299,0.005529,0.007253,0.004362,0.003825,0.004785,0.002142,0.008480,0.005036,0.002703,0.016180,0.010190,0.004777,0.006907,0.009989,0.010921,0.004234,0.000706,0.009388,0.002966,0.008039,0.003999,0.000769,0.002413,0.088161,0.020662,0.003688,0.010459,0.001651,0.004287,

"miranese23",0.034454,0.004145,0.000000,0.013242,0.007315,0.003797,0.000000,0.001133,0.027794,0.008997,0.022979,0.004346,0.026375,0.004133,0.007326,0.064246,0.001502,0.003913,0.025964,0.011912,0.071944,0.000000,0.008352,0.009858,0.002839,0.000000,0.026801,0.003356,0.003775,0.019240,0.003451,0.002793,0.000229,0.009267,0.000547,0.004927,0.003515,0.014900,0.000460,0.011773,0.001792,0.003110,0.004481,0.007298,0.009763,0.020065,0.001589,0.008323,0.012100,0.001028,0.006163,0.016794,0.001551,0.006011,0.007810,0.005069,0.019939,0.001840,0.008851,0.000000,0.010522,0.004814,0.001038,0.005488,0.005926,0.001940,0.004993,0.003504,0.003785,0.045096,0.098751,0.010959,0.000000,0.044834,0.005699,0.000980,0.017061,0.060486,0.008365,0.009557,0.000945,0.003646,0.001558,0.005908,0.000860,0.006023,0.001543,0.010877,0.002512,0.002012,0.000521,0.004616,

"PLAIN_Viola",0.027132,0.005153,0.003021,0.004588,0.003396,0.005547,0.000000,0.002436,0.006795,0.009244,0.001596,0.012740,0.009145,0.000550,0.005392,0.003075,0.005105,0.002375,0.006237,0.152866,0.052360,0.000585,0.010501,0.020760,0.007525,0.053289,0.005210,0.007318,0.003714,0.010730,0.042567,0.006113,0.003463,0.010071,0.005358,0.006782,0.004351,0.003189,0.002581,0.006005,0.009393,0.000695,0.012390,0.006259,0.009457,0.012207,0.000949,0.004198,0.022316,0.004695,0.008069,0.023886,0.003981,0.013365,0.009029,0.014013,0.030660,0.002811,0.005713,0.000000,0.020523,0.012539,0.002483,0.001623,0.003752,0.000204,0.008630,0.003624,0.003069,0.063440,0.003790,0.021718,0.003222,0.013454,0.002276,0.004497,0.024579,0.022095,0.001644,0.004032,0.000000,0.001001,0.003139,0.001233,0.000194,0.010377,0.010455,0.006638,0.002659,0.013990,0.002110,0.004060,

